┌─────────────┬────────────────┬──────────────┬─────────┬─────────┬─────────┬─────────┐
│ nearest_NtC │ (NtC = 'NANT') │ count_star() │   r2    │   r5    │   r7    │   r10   │
│   varchar   │    boolean     │    int64     │ int128  │ int128  │ int128  │ int128  │
│ OP27        │ true           │        37181 │      22 │    2350 │    4764 │   14977 │
│ OP28        │ false          │         3876 │     784 │    3327 │    3869 │    3876 │
│ OP28        │ true           │        26740 │      36 │    3411 │    7904 │   14420 │
│ OP29        │ false          │         6069 │     423 │    4513 │    5786 │    6061 │
│ OP29        │ true           │        64426 │      39 │    3011 │   12725 │   32338 │
│ OP30        │ false          │         2111 │     438 │    1902 │    2084 │    2111 │
│ OP30        │ true           │        59383 │      75 │    3497 │   10856 │   33552 │
│ OP31        │ false          │         4765 │     202 │    3339 │    4503 │    4765 │
│ OP31        │ true           │        55311 │       0 │    1386 │    5018 │   12484 │
│ OPS1        │ false          │         8596 │     159 │    4119 │    6991 │    8570 │
│ OPS1        │ true           │        47274 │       0 │    2075 │    8011 │   21057 │
│ ZZ01        │ false          │        39024 │   11437 │   38765 │   39023 │   39024 │
│ ZZ01        │ true           │        24999 │      19 │   12844 │   17523 │   21641 │
│ ZZ02        │ false          │         1024 │      42 │     327 │     966 │    1023 │
│ ZZ02        │ true           │        23003 │      18 │    3386 │    9697 │   15868 │
│ ZZ1S        │ false          │         2881 │     633 │    2863 │    2881 │    2881 │
│ ZZ1S        │ true           │        17934 │      45 │    6169 │   11091 │   13709 │
│ ZZ2S        │ false          │         1453 │     270 │    1405 │    1449 │    1453 │
│ ZZ2S        │ true           │        12764 │       4 │    1708 │    3550 │    5990 │
│ ZZS1        │ false          │          480 │     236 │     480 │     480 │     480 │
│ ZZS1        │ true           │        12582 │       0 │     132 │     869 │    2965 │
│ ZZS2        │ false          │          147 │     106 │     147 │     147 │     147 │
│ ZZS2        │ true           │        12076 │      11 │     139 │     435 │    1218 │
├─────────────┴────────────────┴──────────────┴─────────┴─────────┴─────────┴─────────┤
│ 192 rows                                                                  7 columns │
└─────────────────────────────────────────────────────────────────────────────────────┘
